title	href	count
Java разработчик	https://hh.ru/resume/4605c05e000758b0fd0039ed1f50527339556b?hhtmFrom=resume_search_result	17.0
Java-разработчик	https://hh.ru/resume/6f83005c0007dfdad40039ed1f56504a713951?hhtmFrom=resume_search_result	17.0
Руководитель интернет-проекта	https://hh.ru/resume/77724a2f00079420650039ed1f31336f634d75?hhtmFrom=resume_search_result	17.0
Специалист технической поддержки	https://hh.ru/resume/3f6aee8100078133db0039ed1f485873616c52?hhtmFrom=resume_search_result	17.0
Веб-дизайнер	https://hh.ru/resume/bd3caed30007ebcc4b0039ed1f35676d766869?hhtmFrom=resume_search_result	17.0
Веб-дизайнер	https://hh.ru/resume/bd3caed30007ebcc4b0039ed1f35676d766869?hhtmFrom=resume_search_result	17.0
Младший тестировщик игр	https://hh.ru/resume/5517387f0007fff7b90039ed1f424d6f675777?hhtmFrom=resume_search_result	17.0
Аналитик	https://hh.ru/resume/295879da000794e4a10039ed1f31357a326b59?hhtmFrom=resume_search_result	17.0
Специалист	https://hh.ru/resume/5a807bdc000398677e0039ed1f523846684e6a?hhtmFrom=resume_search_result	17.0
Офис-менеджер/ личный помощник 	https://hh.ru/resume/77b6a10600059ec8910039ed1f4379564a7876?hhtmFrom=resume_search_result	17.0
Аналитик	https://hh.ru/resume/af8b5e5c00031c66f20039ed1f323149454462?hhtmFrom=resume_search_result	17.0
Analyst	https://hh.ru/resume/6f7d41f20002668a7b0039ed1f413072584f39?hhtmFrom=resume_search_result	17.0
Специалист Helpdesk	https://hh.ru/resume/2a6fe08d000617b3dc0039ed1f56766e68316b?hhtmFrom=resume_search_result	17.0
Специалист информационной поддержки	https://hh.ru/resume/0afa29dd0007e6ec130039ed1f54546865505a?hhtmFrom=resume_search_result	15.0
Специалист информационной поддержки	https://hh.ru/resume/0afa29dd0007e6ec130039ed1f54546865505a?hhtmFrom=resume_search_result	15.0
Специалист службы поддержки пользователей	https://hh.ru/resume/bcaa98430007f0d01b0039ed1f474553524533?hhtmFrom=resume_search_result	15.0
