title	href	last_work_plase	count
Service engineer	/resume/13ba16e100022340fd0039ed1f41643163344c?hhtmFrom=resume_search_result	ОАО ИИХР	2.0
Помощник мастера по ремонту пк	/resume/153a172c00072a31e10039ed1f514978724779?hhtmFrom=resume_search_result	МЦКО	2.0
Руководитель группы анализа	/resume/3ef2d32400006d5cbb0039ed1f736563726574?hhtmFrom=resume_search_result	"ООО «Газпромнефть - Корпоративные продажи"". Обеспечение безналичного расчета по сервисным картам для b2b клиентов, позволяющим приобрести топливо, услуги и иные сопутствующие товары не АЗС."	2.0
Инженер АСУ	/resume/3b5005c200001746110039ed1f736563726574?hhtmFrom=resume_search_result	МИП-Строй№1 (МОСИНЖПРОЕКТ)	2.0
Директор департамента управления проектами	/resume/980c36f50000a158ae0039ed1f736563726574?hhtmFrom=resume_search_result	INTACT	2.0
Менеджер проекта	/resume/d3c963e70001fd74120039ed1f506766796938?hhtmFrom=resume_search_result	Mono bar	1.0
Инженер технической поддержки	/resume/fffffb7e0000ecef720039ed1f795374784143?hhtmFrom=resume_search_result	GDC (ICL Services)	1.0
Сборщик ПК. IT специалист.	/resume/42b86b4000077872370039ed1f413077686c7a?hhtmFrom=resume_search_result	NSGP	1.0
Системный аналитик	/resume/2096f2c80007ca00380039ed1f7863446f6f51?hhtmFrom=resume_search_result	"ФКУ ""Центр стратегических исследований гражданской защиты МЧС России"""	1.0
Frontend-разработчик	/resume/f0e6f06300020da3610039ed1f327675346365?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Программист  1С	/resume/4ed972e10004ffac6b0039ed1f6f6775745767?hhtmFrom=resume_search_result	Фрилансер	5.0
Руководитель отдела аналитики	/resume/ffcd9acf000594951f0039ed1f486c43303567?hhtmFrom=resume_search_result	МАГНИТ, Розничная сеть	8.0
Системный администратор / IT инженер	/resume/85479b7e0002f65c430039ed1f35387577564a?hhtmFrom=resume_search_result	"ОАО ""Объединенный Торговый Дом ""Ясенево"""	1.0
IT инженер/QA инженер/Системный администратор(devops)	/resume/cacaeb010007c70e990039ed1f796979387467?hhtmFrom=resume_search_result	IKEA	3.0
🤝 Разработчик, программист: PHP, Netcat, Битрикс	/resume/0dc3b7540007b2d8220039ed1f347464517077?hhtmFrom=resume_search_result	Частная практика	3.0
Клиентский менеджер / Менеджер по продажам	/resume/52308d920007a28cd00039ed1f594938756d64?hhtmFrom=resume_search_result	UpWork	1.0
Интернет-маркетолог, менеджер по интернет-маркетингу	/resume/6f3594f1000013439a0039ed1f736563726574?hhtmFrom=resume_search_result	Платежный сервис А-3	1.0
Frontend Developer	/resume/7cd2d3980003d355de0039ed1f4a32586a6d47?hhtmFrom=resume_search_result	Bokus	1.0
Менеджер по закупкам, продажам и работе с клиентами. Технический специалист.	/resume/78d90fd200007dd5de0039ed1f736563726574?hhtmFrom=resume_search_result	ЛУКОЙЛ-Центрнефтепродукт, ООО	1.0
Руководитель, Специалист отдела информационных технологий	/resume/4e35d3f500045b2c720039ed1f55395876306c?hhtmFrom=resume_search_result	"ПАО ""НПО ""Алмаз"" Концерна ВКО ""Алмаз-Антей"" -Отдел информационных технологий."	1.0
Ведущий системный администратор	/resume/ab0ba5c20001d310250039ed1f52324a56636b?hhtmFrom=resume_search_result	Мосветобъединение, ГБУ	1.0
Руководитель отдела информационных технологий	/resume/9679761b0007bd4b2e0039ed1f724c47466c78?hhtmFrom=resume_search_result	"ОАО ""Ямал СПГ"""	1.0
Аналитик	/resume/e37e1ea9000031ff110039ed1f736563726574?hhtmFrom=resume_search_result	"ООО ""Тайгер"""	1.0
IT/ Ecom Project manager	/resume/adfa291c0007c19b120039ed1f31773836545a?hhtmFrom=resume_search_result	Мосплитка, интернет-магазин	1.0
IT-специалист	/resume/1c1cfa270005189d070039ed1f685264506f68?hhtmFrom=resume_search_result	"ООО ""Полюс Холода"","	1.0
Младший консультант / консультант SAP	/resume/de6efb6c0006dd24c60039ed1f4a6f71694b44?hhtmFrom=resume_search_result	БДО	2.0
Системный администратор	/resume/2b304df70003fbce440039ed1f34504a705769?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Специалист технической поддержки	/resume/bd14733100037ab7430039ed1f476742513851?hhtmFrom=resume_search_result	Зеробит, ООО	1.0
Тестировщик ПО	/resume/d1fa92380007f9ee2e0039ed1f344447695133?hhtmFrom=resume_search_result	МТС Банк	3.0
Руководитель проектов по созданию и развитию веб сайтов, seo оптимизация, smm	/resume/b04620510001801df10039ed1f4a68696b336d?hhtmFrom=resume_search_result	Группа Компаний (Туризм+Консалтинг+Производство\Продажа+Веб студия)	1.0
Специалист по технической поддержке и продвижению сайтов	/resume/a16a2888000284cf900039ed1f5a686e787967?hhtmFrom=resume_search_result	"ОДО ""Прософт"""	1.0
Project Manager	/resume/0974aed600066f9e850039ed1f5944477a7757?hhtmFrom=resume_search_result	Ministry of health of the Russia	1.0
Архитектор/Разработчик Micro Focus Service Manager	/resume/c462a81b00009377d00039ed1f736563726574?hhtmFrom=resume_search_result	Талмер	1.0
UI/UX Дизайнер	/resume/4439eee50003f86fe00039ed1f4e5259614275?hhtmFrom=resume_search_result	Фриланс	38.0
Junior C# разработчик, Разработчик C# стажёр 	/resume/86d3367f000691368e0039ed1f707975483173?hhtmFrom=resume_search_result	ООО КИНЕФ	2.0
Аналитик	/resume/d0a48b00000120af530039ed1f34584a316776?hhtmFrom=resume_search_result	"ООО ""ЕСП"""	1.0
Руководитель e-commerce проектов	/resume/4bb72a520007e7bdd50039ed1f624131456f62?hhtmFrom=resume_search_result	Ф-Центр, IT-компания, интернет-магазин fcenter.ru, розничные магазины, дилерская сеть, B2B продажи	1.0
Системный администратор	/resume/76de2d500001d152ea0039ed1f71655632686c?hhtmFrom=resume_search_result	АО Денвью Лимитед	2.0
Верстальщик	/resume/a6ce2360000353e62d0039ed1f6d38316f5876?hhtmFrom=resume_search_result	Рекламно-издательская компания	2.0
Level Designer	/resume/b72965a700079a388b0039ed1f4e35776a5332?hhtmFrom=resume_search_result		
Аналитик	/resume/f52e51a7000801508f0039ed1f664c3233506d?hhtmFrom=resume_search_result	20 Centure Fox / Disney	1.0
Системный администратор	/resume/c29788f70003e0f69b0039ed1f4d4f4842677a?hhtmFrom=resume_search_result	NLIME LTD	1.0
Электромонтер линейных сооружений телефонной связи 6 разряда,инженер связи без опыта	/resume/c9c7e6240004942da20039ed1f355a78413539?hhtmFrom=resume_search_result	ООО Энергомаш-электросвязь	1.0
Project/Product manager, analyst	/resume/aa2f4283000348d45c0039ed1f35596f674c4c?hhtmFrom=resume_search_result	ООО «Битфьюри Рус»	1.0
Frontend Vue Developer	/resume/6289bb6c0007ee42270039ed1f7a5434596431?hhtmFrom=resume_search_result	hybrid.ai	1.0
Руководитель управления информационных технологий	/resume/2a44a48400075624660039ed1f554772765141?hhtmFrom=resume_search_result	ООО Инвесттрейд	1.0
ABAP-разработчик	/resume/c128aa7500006a57560039ed1f736563726574?hhtmFrom=resume_search_result	ТерраЛинк Россия	1.0
Системный администратор	/resume/d81a179300040ff1110039ed1f4c684632696d?hhtmFrom=resume_search_result	Центр занятости города Воркуты	1.0
3D-моделлер	/resume/1bbfc94900056cdac40039ed1f335a766c6368?hhtmFrom=resume_search_result	STUDIO CUBIC	1.0
Специалист по тестированию	/resume/c73ff1f50005f471220039ed1f6958745a6342?hhtmFrom=resume_search_result	MERLION	2.0
Продуктовый аналитик / Аналитик данных	/resume/3a10ce640007f474ec0039ed1f383972676356?hhtmFrom=resume_search_result	Яндекс.Практикум	15.0
Javascript fullstack developer. Pure JS, Node-js, GraphQL, React, SQL and etc	/resume/1add4df90001f10f3c0039ed1f74664c337469?hhtmFrom=resume_search_result	Интернет	1.0
Системный администратор/инженер технической поддержки	/resume/a9c8e33e000240b6580039ed1f6e47355a3941?hhtmFrom=resume_search_result	"ООО ""Центр экологии жилья"""	1.0
