last_work_place;count
Deutsche Bank Ltd. and Deutsche Bank Technology Center LLC;1
Магазин Оригинал;1
ООО «Династия»;1
Авалон;1
Комитет национальной безопасности;1
Шако;1
Металлокомплект-М;1
ИФНС России по Дзержинскому району г. Волгограда;1
ОАО АЛЬФА БАНК;1
ООО Мебельный клуб;1
АО НТЭСК ;1
Флорист.ру;1
Ресторанные технологии, ООО;1
HSE UX Lab;1
ООО евросеть － ритейл;1
Brillix capital;1
Слуцкая ЦРБ;1
"ООО ""Русбизнесавто""";1
"АО ""АИФН ""KeruenCity""";1
GudCovCompany;1
МедОптСервис;1
ЕвроПлан;1
"ПАО ""Омский каучук""";1
Деловые Связи;1
Фондовый рынок;1
ИБМ Восточная Европа/Азия - IBM EE/A;1
Лига цифровой экономики ;1
АО «Алма Телекоммуникейшнс Казахстан»;1
Сэлмон Медиа ;1
Airport Management Company Ltd.;1
Автолидер;1
"ООО ""Генеральное Управление Проектом""";1
Армед;1
Satsol llt;1
МДМ банк;1
Сичим С.п.А Казахстан;1
"ООО ""КОМПИТ ЭКСПЕРТ""";1
"РГП ""Центр анализа и информации""";1
"ООО ""Газпромнефть-Центр""";1
Служба государственного строительного надзора Республики Крым;1
Lucht Probst Associates (LPA);1
Тандер;1
HABITANT;1
ISINCONSULT;1
СОГАЗ;1
"ООО ""Апекс-Айс""";1
ASTEL, АО;1
"АО ""Энерготрансбанк"" КБ";1
McKinsey Business Diving 2020;1
RUFORM;1
Управление государственных доходов по Бостандыкскому району;1
ДБ АО «Сбербанк» в г. Караганда;1
ПАО Сбербанк ЦЧБ;1
ГАОУ ДПО МЦРКПО;1
"АО ""Корпорация ""ГРИНН""";1
АО Фармпроект (http://pharmproject.com/);1
"Группа компаний ""Новый Мир""";1
ООО Газпром добыча Ямбург;1
АО Медиа Плюс;1
ООО ВБЦ;1
ИВС, Группа компаний;1
"ООО ""Мелисента""";1
БелСаваж, ОДО;1
"ООО ""Международная языковая школа""";1
ПАО банк ФК Открытие ;1
ИНТЕРТЕХ, НЦИТ;1
ОАО КБ Селена;1
ЭрЭс Софт;1
Аплана. Центр Разработки;1
"ООО ""Стиль Трейд"" (LIME)";1
ООО Индивид;1
УП Агрокомбинат Ждановичи;1
"ООО ""Инновации Биотехнологии""";1
DOG DAYS PRODUCTIONS STUDIO;1
BI Innovations ТОО (бывш. BeInTech ТОО);1
"ООО ""Сахалин-Ист""";1
Гармония уюта;1
Epam Systems Ukraine;1
ABI Product;1
ООО Ташир Групп;1
Нобел Алматинская Фармацевтическая Фабрика, АО;1
Курсы «Вне офиса», «Веб-дизайн»;1
НЛМК;1
"OOO ""Кондитерская фабрика ""ПОБЕДА""";1
"Марс Казахстан, Wrigley (""Wrigley Kazakhstan"")";1
ЦБ;1
Analytic company AV-Consult;1
SKILLBOX;1
Строительная компания;1
"ООО ""ОТР 2000""";1
Черкизовский МПЗ ( ИП Говоров В.В.);1
"АО НК ""КазМунайГаз""";1
Аксилон Консалтинг;1
"ООО""Славянка-торг""";1
"ТД ""Рембыттехника""";1
Государственный космический научно-производственный центр им. М.В. Хруничева;1
ООО Юринат-Продукт;1
"ООО ""Клуб Русский Экспресс""";1
Transneft Technologies;1
"ООО ""Перспектива""";1
ООО Союзпечать;1
АО Банк RBK;1
Высокие технологии и стратегические системы (ЗАО НПК ВТ и СС);1
ГБУЗ Городская поликлиника №3;1
Проектный фриланс;1
Российская академия народного хозяйства и государственной службы при Президенте РФ, Международный институт Московская школа социальных и экономических наук. Преподаватель.;1
Киевский национальный торгово-экономический университет;1
"ФГБУ ""Информационно-аналитический центр поддержки заповедного дела""";1
"ООО ""Аванта-Телеком""";1
"ООО ""Смайнекс Констракшн"" ";1
Стартап в Швейцарии;1
АО Галерея Чижова ;1
Coinstelegram.com;1
New Media;1
Смарт Деливери;1
КОНСУЛ;1
Мордовский государственный университет им. Н.П. Огарёва;1
ООО БЦ Принципал;1
Стелла груп Рус;1
Бухгалтерская компания;1
天才职员;1
Dkschool;1
PricewaterhouseCoopers;1
"OOO ""Вентра Ай-Ти Проджект""";1
ООО ОО Звездочет;1
West Dala;1
"АО ТВК ""Авиапарк""";1
Yobitrust;1
Diageo;1
"ООО ""Вектор-С""";1
"ООО ""Капитал брокер""";1
Saren, Arctic LNG-2;1
ИП Федорова.;1
ООО «КОНТРАСТ»;1
JTI RUSSIA LLC;1
Alean Family ;1
"ТОО "" Радуга""";1
"""Grand Ta'lim"" Non-governmental educational organization";1
Uniweb;1
ICL-КПО ВС;1
Амедарт;1
