last_work_place;count
"ООО ""Инфо-контент""";1
Корпорация дело;1
"ГБУЗ СО ""ТГКП №3""";1
"TOO ""Conte Shop”";1
Norte Capital;1
АО «Институт экономических исследований»;1
"ООО ""Юник Бизнес Консалтинг""";1
"Общество с ограниченной ответственностью ""Вэйт""";1
АСВ;1
"ТОО ""Статус Construction""";1
ГУ МВД и ГУФСИН России по Красноярскому краю ;1
"ООО ""Тепара""";1
"Нефтедобывающее и перерабатывающее  предприятие ""Енисей"" г.Усинск";1
Thyssen Schachtbau GmbH;1
ООО «Svarog»;1
"ООО ""Технология Центр""";1
ООО СК Сервис;1
"ООО «МПК""";1
Дотерра;1
ООО СТРОЙСЕРВИС;1
Рыболовецкий колхоз им.Ленина;1
"ТОО ""ОУСА Юг""";1
Казахмыс, Филиал;1
ЗАО «Центр охраны труда и промышленной безопасности»;1
"ООО ""ВОСТОК А""";1
"ООО ""Сантехстрой""";1
KRASS tobacco;1
ИОГУНБ им. Молчанова-Сибирского;1
"ООО ""ЦБТ""";1
"ООО ""БК Фаворит»";1
"ПКФ ""Мирзо-Бобур"" (сеть кофейн и производственных цехов BON), Ташкент ";1
ООО «НФП Финансвые решения»;1
ЮТэйр, Авиакомпания;1
CPC Real Talk;1
RPI;1
"ООО ""НТЦ "" ЭНЕРГОАВТОМАТИЗАЦИЯ""";1
"НОЧУ ВПО ""Московский экономический институт""";1
ООО ГЛОНАССсофт;1
ООО Башфин;1
Тинькофф страхование;1
Capital Times Investment Company;1
Ingrad;1
"ООО ""Брокарго""";1
"ООО ""СИБУР ИТ""";1
АО АльфаСтрахование;1
"АО ""Казахстанский центр государственно-частного партнерства""";1
ООО Фаст Продакшн;1
«Перспектива» школа ландшафтного дизайна;1
БизнесСтат;1
ТОО Capvia;1
ЯндексДзен;1
МДЦ;1
ИП Зубкова С.В.;1
Philip morris Kazhakstan;1
Ингосстрах;1
Инвестиционный фонд;1
Международный аэропорт Красноярск;1
MarketingLab;1
ТОО Partner Leasing;1
Simcord;1
Russian field;1
ФОП Музыка А.Н.;1
ООО БЦ Принципал;1
"ООО ""Интеграционные технологии"" (4D)";1
Sberbank Private Banking;1
ООО Пигато;1
Самара - Авто;1
"ООО ""Азериншаатсервис"" в РК";1
Amway;1
"АО ""Фарм-Синтез""";1
"Филиал ""Северо-Западный"" Банка ВТБ (ПАО)";1
Henkel;1
Dataduck;1
Bridge Group;1
"ООО АКГ ""Новгородаудит""";1
Graphicone;1
ГК Росатом;1
Логистическая компания МОЛКОМ, ЗАО;1
Cresco Finance ;1
АО ЭР-Телеком Холдинг (Дом.ру);1
"ООО ""ГИПРОГОР-КП""";1
Южный Парус, ООО, Краснодар;1
ООО Наноком;1
ITBC;1
Российский химико-технологический университет им. Д.И. Менделеева;1
Госпиталь для ветеранов войн № 2;1
КБ Универсал;1
OPEN Retail;1
Торговое представительство России в Соединённом Королевстве Великобритании и Северной Ирландии;1
Математика бизнеса (ООО Интеграти);1
Группа Компаний AKFA;1
Ураниум Уан Груп;1
"ООО ""Грационе""";1
Санкт-Петербургский филиал Специальной Астрофизической Обсерватории РАН;1
ООО геоконтроль восток;1
"ООО ""Зефир""";1
Дата Прайваси Офис;1
freelancer;1
Центр научно-технической информации (Белорусская железная дорога);1
"БУ Омской области ""Комплексный центр социального обслуживания населения""";1
АО Имсталькон;1
Работа в проектах Data Science;1
Эстейт35;1
SOVA Capital Limited  (ex Otkritie Capital International Limited);1
Ecostandard group;1
«Протек-12», Филиал ЗАО ЦВ Протек (федеральный фарм-поставщик);1
"ТОО ""КАЗЭКОАНАЛИЗ""";1
Управление Федеральной антимонопольной службы по Липецкой области;1
"Агенство исторических проектов ""Ратоборцы""";1
armtek;1
Московское региональное отделение МолРОП;1
UNITEX;1
JSC «Gazprom neft» (LLC «ITSK»);1
АО Банк ПСКБ;1
Шако;1
Smart ICO (услуги продвижения на ICO);1
ТАТТЕЛЕКОМ, ОАО;1
Bain & Company (Big 3);1
Toolstrek;1
"OOO ""Геламко""";1
UkrSibbank BNP PARIBAS;1
"НОУ ВПО ""Русский институт управления им.В.П.Чернова""";1
Манго страхование;1
"ООО ""Финансовая компания ""АРКО""";1
Фонд Сколково;1
"ГБУ «Доринвест""";1
ООО Смарт Грэйд (ТМ Сапсан, MEYER);1
Петрокартон;1
ПАО АТБ;1
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАЙФФАЙЗЕНБАНК""";1
Bitfury;1
"ООО ""МебельКом""";1
Own Business, software integration;1
Интелсиб;1
Remote;1
ЮКОЛА-ИНФО-Брест, ОДО;1
"ООО ""Мерседес-Бенц Файненшиал Сервисес Рус""";1
Срочный трудовой договор (частичная занятость);1
Крупная обувная сеть (инкогнито);1
Sphinx, Research and Consulting;1
Кубанский государственный университет;1
QIWI ;1
Разные организации, опыт более 10 лет;1
ООО  «POKSON TOSHKENT»;1
Adnow Media;1
PAO SIBUR Holding;1
"НПП ""Интеррин""";1
ООО Консиб-Орел;1
"АО""Тандер""";1
