last_work_place;count
РОСГОССТРАХ Банк;1
GoodWin Art - Международный музыкальный видеоконкурс;1
"ООО ""ИСТРЭЙД""";1
Большая тройка;1
Startup AlterVision, Tinder 2;1
Комплексный маркетинг;1
Финансовая корпорация Открытие;1
Стартап (B2C);1
ОАО «СельхозБиоГаз», НП «Биотехнологический кластер Кировской области»;1
Интернет-магазин по доставке цветов;1
KidZania;1
Renaissance Capital;1
Информационный центр государственного портового контроля;1
Шлюмберже, нефтяная сервисная компания;1
WhiteWert;1
"ООО РА ""Дельта-План""";1
Fujitsu Technologies Solutions (Contractor);1
"ООО ""стройтрансэк""";1
Топмарка;1
ГУОВ, ОАО;1
Работа в проектах Data Science;1
"ООО ""ЦБТ""";1
Рокетбанк;1
Rusfic LLC Recordati Group;1
TEZ TOUR;1
Пенсионный фонд Российской Федерации;1
Комплето;1
АО Почта России;1
Производственная компания в области машиностроения;1
"ГБУЗ СО ""ТГКП №3""";1
"ООО ""Инновационная  компания  ""ИНТЕС""";1
"ЗАО ""Руст Инк""";1
ООО Газпромнефть Региональные продажи;1
BIM;1
"ООО ""Лидер""";1
Специализированный депозитарий ИНФИНИТУМ, ОАО;1
Российский вертикально интегрированной холдинг (девелопмент ->архитектура->строительство-> производство, 60 компаний, 7500 сотрудников, присутствие в 5 регионах РФ);1
АО «ПКК Миландр»;1
Юнисервис;1
McKinsey & Company;1
"ООО «ЕСТ""";1
фирма КОРИ;1
"ООО ""Хакора""";1
Создание СЭД на 1С:Документооборот 8 КОРП, консультирование / удаленная работа / фриланс;1
РAБOTA.TUT.BY;1
ЗАО Опт Торг;1
ООО «Энергетические технологии» http://ecoen.pro/;1
Срочный трудовой договор (частичная занятость);1
"ЗАО ""Инжиниринговый центр ГОЧС ""БАЗИС""; ЗАО ""НИИ СМИС""; ООО ""В-класс""";1
Группа компаний АКАДО;1
Межрегиональный ТранзитТелеком, ОАО;1
Nyxale;1
BearingPoint;1
Prospect 33;1
ФинМедиа (ЛидГид);1
IAC (Информационно-аналитический центр в сфере здравоохранения ДИТ г. Москвы);1
Rutrail;1
Electroway.ru Smarus.ru Smartwatches.ru;1
А101;1
FinMedia;1
ГКУ Московской области «Центр содействия развитию земельно-имущественного комплекса Московской области»;1
Неофициальное трудоустройство;1
"ООО ""ГЕНЕЗИС БЛОК""";1
Интерфакс;1
"ООО ""Рыжков и К""";1
"ООО ""Теремъ""";1
G-Apps-Script.COM;1
АО ДомКом Инвест;1
"ФГУП ""ЗащитаИнфоТранс""";1
ИП Коломенцев В. В.;1
Цеппелин Русланд;1
"ООО ""ИТ Компания""";1
SmartDec;1
MY Marketing agency;1
Лига Ставок;1
"ООО ""Мореодор""";1
GoodsForecast;1
Аэлита;1
eToro (социальная сеть для трейдеров);1
ФБУ ИТЦ ФАС России;1
ООО;1
domovenok.ru;1
armtek;1
CRG Solutions Private Limited;1
Проект Метрум;1
Changellenge >>, Employer Branding Agency;1
ОАО Торговый Дом ЦУМ;1
Coursera;1
Свой проект;1
Разные;1
ИП Успенский Е.В.;1
Истранет;1
Проекты по договорам;1
Out of cloud;1
Онлайн-школа Тетрика;1
Стройка7;1
promosite.ru;1
Планета;1
Форсайт Консалтинг;1
Ферреро Руссия, ЗАО;1
VTB Capital Broker;1
Rubbles (SBDA GROUP);1
Разные организации - от стартапов до лидеров отрасли.;1
Механотроника, НТЦ;1
Societe Generale Insurance;1
"Insurance company ""Raiffeissen Life"" Ltd, Russian Federation, Moscow";1
"АО ""Концерн ""Созвездие""";1
Александр Митник и Ко;1
Тетрика;1
iCenter;1
АО НПК ВТ и СС (РТИ им. Минца);1
Про Ай-ти Ресурс;1
ООО Газпром добыча Ямбург;1
"ООО ""Энкор""";1
Страховой Дом ВСК;1
"ООО ""Мегаполис"" Москва";1
Объединённая ракетно-космическая корпорация - Научно-исследовательский институт космического приборостроения (ОРКК-НИИ КП);1
Uchi.ru;1
ВНИИнефть им. академика А.П. Крылова;1
DOMODEDOVO INTEGRATION (ГК Аэропорт Домодедово);1
ОлексДеко;1
МИЭМ НИУ ВШЭ;1
Яндекс.Маркет;1
"ООО ""ПепсиКо Холдингс""";1
"ООО ""Ризалит"" (строительная компания)";1
Execution LLC;1
Центральное детское фотоателье;1
ICEBERG;1
Яндекс.Лавка;1
ФГБОУ ВО МГАВМиБ;1
SHORTEX;1
"ООО ""Вам Свет""";1
РН Банк;1
Daimler Kamaz RUS;1
Заготовитель и переработчик лома черных и цветных металлов;1
Helgilab iT Geo;1
АО Ростехинвентаризация - Федеральное БТИ;1
"Insuarance company ""Soglasie""";1
"ГБУ МО ""МОМИАЦ""";1
ООО «Орби консалтинг»;1
VCV;1
Триада Софт;1
"ООО ""Профи Лаб""";1
Semantic Hub;1
Зейтц Проджект;1
Центр финансовых технологий;1
"Производство и магазин ""Тамара Старцева""";1
ООО Промстройсертификация;1
Управление Роскомнадзора по Липецкой области;1
FSD;1
Филиал корпорации «Боинг Раша, Инк.» (США);1
Bitfury;1
Traders;1
Полиматика Рус;1
"ООО ""Системы освещения""";1
ООО СБКлауд;1
Транснефть - технологии;1
NetCracker Tech;1
Платформа автоследования для криптовалютных бирж с собственным терминалом;1
ООО «Энтергейт»;1
Rambler&Co;1
Аппарат Губернатора Ямало-Ненецкого автономного округа;1
Авексима;1
Департамент Информационных Технологий города Москвы;1
АО Альфа-Банк;1
Красный квадрат, ООО;1
ФГБУ «ЦЭКИ»;1
International Processing Systems;1
Digital Group (в том числе - международное инстаграм-агентство Evo.Plus с оценочной стоимостью 300+ млн рублей, 22 франчайзи в 4 странах мира, более 800 реализованных проектов);1
OXIV;1
ТПС Недвижимость;1
1C International;1
ПАО Микрон;1
ИП Колесникова К.В.;1
Cornerstone;1
Группа компаний NEUROGRESS - Международная компания. ИТ, Нейротехнологии, ИИ, VR;1
Российский государственный аграрный университет;1
Почта России (Аппарат управления предприятием);1
банки, небанковские кредитные, некоммерческие и иные организации;1
Data Science: Completed Courses;1
"АО ""Энергосбыт Плюс""";1
ООО «Заочник.Ком»;1
"ООО ""Брокарго""";1
SAS Institute;1
AGIMA;1
Стелла груп Рус;1
Media Instinct Group;1
РТ-Инвест транспортные системы;1
Mars;1
CT Consulting;1
Beijing Institute of Technology;1
"ООО ""Си Эн Ви Аналитикс""";1
"ООО ""Циколия""";1
ООО «АйСИСОЛЛ»;1
М-студия;1
ОАО ЭК ВОСТОК;1
Сирена-Трэвел;1
InStat;1
Skillbox;1
O'STIN;1
Главный ботанический сад им. Цицина;1
Latoken;1
ГЛОРИЯ ДЖИНС;1
IT2G LLC;1
"ГУП ""Ленгипроинжпроект""";1
ООО Восток-Запад;1
"ООО ""Мир Инструмента""";1
Компо (Compo ESL res. Skolkovo);1
Exactpro;1
"ПК ""Белагрокоммунхоз""";1
ГК Регион;1
Банковский Операционный Центр;1
Raiffeisenbank;1
МОСЭНЕРГО;1
Газпром нефть, ПАО;1
"ТК ""Инфофлот""";1
Ай-Ти;1
WINLINE;1
ИНТЕРТЕХ, НЦИТ;1
Aitu-Dala (смена юр.лица в рамках группы компании);1
РОСКОНЦЕПТ;1
LATOKEN;1
WakeApp Games;1
ABBYY;1
Систематизация бизнес-процессов, сквозная аналитика, контекстная реклама, строительство отделов продаж;1
ООО Агрокультура Групп;1
ООО Каспел;1
ПКБ;1
"ООО ""Смайнекс Констракшн"" ";1
Yobitrust;1
HSE UX Lab;1
Инфосистемы Джет;1
Russia Today;1
