last_work_place;count
Банк ТОП200;1
ОАО «ЛУКОЙЛ»;1
Speak Finance;1
"ООО ""Центр развития территорий""";1
НП «Биотехнологический кластер Кировской области», ОАО «СельхозБиоГаз»;1
"ООО ""Инвест Проект""";1
Московская Биржа, ОАО;1
Военно-Промышленный банк, АКБ;1
Mobile dimension;1
Отделение Ленинградское Северо- Западного федерального округа;1
АО ЭКСПЕРТ БАНК;1
ООО БК Фаворит;1
АО Делойт энд Туш;1
Солид Банк, ЗАО г. Санкт-Петербург;1
ВТБ;1
SharesPro;1
ТЕЛЕ-ТРЕЙД;1
Федеральное агентство лесного хозяйства;1
НКО Национальная Расчетная Компания;1
ООО «Фан Дженерэйшн» (группа «ОНЭКСИМ»);1
РУССКИЙ СТРОИТЕЛЬНЫЙ БАНК, ЗАО;1
Деловые Связи;1
The MergerSight Group;1
ЦЕНТРАЛЬНЫЙ БАНК РОССИЙСКОЙ ФЕДЕРАЦИИ (БАНК РОССИИ);1
КБ Локо-банк;1
